brandstof_omschrijving,brandstof_volgnummer,brandstofverbruik_buiten,brandstofverbruik_gecombineerd,brandstofverbruik_stad,co2_uitstoot_gecombineerd,emissiecode_omschrijving,geluidsniveau_stationair,kenteken,milieuklasse_eg_goedkeuring_licht,nettomaximumvermogen,toerental_geluidsniveau,co2_uitstoot_gewogen,geluidsniveau_rijdend,nominaal_continu_maximumvermogen,uitstoot_deeltjes_licht,roetuitstoot
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,GP198S,715/2007*2015/45W,51.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.60,6.80,8.90,160,Euro 5,76,42TBN3,715/2007*692/2008A,132.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.30,5.10,6.30,117,Euro 6,77,KH844G,715/2007*136/2014W,92.00,3750,NA,NA,NA,0.00196,NA
Benzine,1,4.10,4.60,5.50,109,Euro 4,83,65XNDX,70/220*2003/76B,50.00,4500,NA,70,NA,NA,NA
Benzine,1,4.10,4.90,6.20,114,Euro 6,82,RP079H,715/2007*136/2014W,66.00,3750,NA,70,NA,NA,NA
Benzine,1,6.10,7.70,10.40,179,Euro 5,71,36PBR3,715/2007*692/2008A,125.00,3800,NA,NA,NA,0.00093,NA
Diesel,1,4.10,4.90,6.30,131,Euro 3,79,32SHNX,70/220*2003/76A,80.00,3000,NA,72,NA,0.03000,2.50
Benzine,1,4.70,5.80,7.70,139,Euro 4,81,86HPS4,70/220*2003/76B,59.00,4200,NA,NA,NA,NA,NA
Benzine,1,4.10,4.60,5.60,105,Euro 6,73,SR459P,715/2007*2015/45W,55.00,3750,NA,71,NA,NA,NA
Benzine,1,4.90,6.10,8.10,145,Euro 3,82,HJ424B,70/220*2002/80A,54.00,4050,NA,72,NA,NA,NA
Benzine,1,5.60,7.20,9.90,169,Euro 5,84,RV132Z,715/2007*566/2011J,184.00,3750,NA,75,NA,0.00140,NA
Benzine,1,5.30,6.30,8.00,151,Euro 4,80,30ZBXL,70/220*2003/76B,66.00,4200,NA,72,NA,NA,NA
Benzine,1,6.80,8.40,11.20,197,Euro 5,78,3ZPS31,715/2007*566/2011F,245.00,3750,NA,74,NA,0.00200,NA
Benzine,1,4.60,5.70,7.50,133,NA,81,70JSL2,NA,71.00,4313,NA,NA,NA,NA,NA
Benzine,1,4.90,5.80,7.40,136,Euro 5,77,5ZHN75,715/2007*459/2012J,88.00,3675,NA,NA,NA,NA,NA
Benzine,1,5.10,6.00,7.60,139,Euro 5,76,4ZLT87,715/2007*630/2012J,103.00,3750,NA,NA,NA,NA,NA
Benzine,1,3.80,4.30,5.10,99,Euro 6,78,HB866Z,715/2007*2015/45W,48.00,3750,NA,NA,NA,0.00120,NA
Benzine,1,3.70,4.30,5.40,99,Euro 6,72,KG122G,715/2007*2015/45W,74.00,3750,NA,69,NA,0.00135,NA
Benzine,1,4.60,5.70,7.50,133,NA,80,47JDP2,NA,60.00,4350,NA,NA,NA,NA,NA
Benzine,1,5.40,6.50,8.40,153,Euro 5,86,JT639B,715/2007*630/2012J,85.00,3750,NA,74,NA,NA,NA
Benzine,1,4.70,5.60,7.10,129,Euro 6,75,PJ176L,715/2007*2016/646W,110.00,3750,NA,68,NA,0.00025,NA
Benzine,1,3.70,4.30,5.40,99,Euro 6,73,GR099G,715/2007*136/2014W,55.00,3750,NA,71,NA,NA,NA
Diesel,1,3.50,3.80,4.20,98,Euro 5,74,RT705J,715/2007*630/2012J,68.00,3000,NA,66,NA,0.00026,0.51
Benzine,1,3.90,4.50,5.50,106,Euro 4,80,25NDH7,70/220*2003/76B,50.00,4500,NA,71,NA,NA,NA
Benzine,1,3.60,4.30,5.40,98,Euro 6,72,SR084R,715/2007*2016/646W,92.00,3750,NA,67,NA,0.00190,NA
CNG,1,4.10,4.90,6.30,88,Euro 6,81,7TPS54,715/2007*195/2013W,81.00,3750,NA,NA,NA,NA,NA
Benzine,2,4.30,5.00,6.20,115,Euro 6,81,7TPS54,715/2007*195/2013W,81.00,3750,NA,NA,NA,0.00042,NA
Benzine,1,3.70,4.30,5.40,99,Euro 6,72,NH966R,715/2007*2015/45W,74.00,3750,NA,69,NA,0.00135,NA
Benzine,1,4.30,5.00,6.10,117,Euro 6,74,HZ967L,715/2007*136/2014W,85.00,3750,NA,71,NA,0.00200,NA
Benzine,1,3.70,4.10,5.10,94,Euro 6,74,RK073V,715/2007*2015/45W,55.00,3750,NA,71,NA,NA,NA
Diesel,1,4.50,5.00,6.10,132,Euro 5,69,24XLL2,715/2007*566/2011F,130.00,2375,NA,NA,NA,0.00038,0.50
Benzine,1,4.60,5.50,7.00,129,Euro 5,78,13PLL4,715/2007*692/2008A,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.60,5.50,7.10,129,Euro 5,77,25ZTF8,715/2007*459/2012J,88.00,3675,NA,NA,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 5,NA,6SNX70,715/2007*459/2012J,NA,NA,NA,NA,111.00,NA,NA
Benzine,1,NA,NA,NA,NA,Euro 5,48,6SNX70,715/2007*459/2012J,63.00,NA,27.00000,69,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 5,NA,78XXV3,715/2007*566/2011F,NA,NA,NA,NA,111.00,NA,NA
Benzine,1,NA,NA,NA,NA,Euro 5,48,78XXV3,715/2007*566/2011F,63.00,NA,27.00000,69,NA,NA,NA
Benzine,1,4.90,5.50,6.50,125,Euro 6,74,NS455H,715/2007*2016/646W,110.00,3750,NA,69,NA,NA,NA
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,RX579R,715/2007*2016/646W,51.00,3750,NA,69,NA,NA,NA
Diesel,1,5.60,7.10,9.80,189,NA,76,93HKR5,NA,103.00,3000,NA,NA,NA,NA,0.50
Benzine,1,4.40,5.50,7.30,127,Euro 5,83,79PVJ1,715/2007*692/2008A,44.00,3750,NA,NA,NA,NA,NA
Benzine,1,3.90,4.50,5.50,102,Euro 5,74,97ZKV9,715/2007*566/2011F,60.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.00,4.50,5.40,103,Euro 5,78,82RNP7,715/2007*692/2008F,50.00,3750,NA,70,NA,NA,NA
Benzine,1,3.70,4.10,5.10,94,Euro 6,72,NS067D,715/2007*2015/45W,55.00,3750,NA,71,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 6,NA,GG799X,715/2007*136/2014W,NA,NA,NA,NA,55.00,NA,NA
Benzine,1,NA,NA,NA,NA,Euro 6,76,GG799X,715/2007*136/2014W,110.00,3750,39.00000,73,NA,NA,NA
Diesel,1,3.20,3.60,4.20,93,Euro 5,74,04RJS4,715/2007*692/2008A,68.00,3000,NA,NA,NA,0.00053,0.51
Benzine,1,5.50,6.70,8.70,159,NA,78,03NGB6,NA,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.90,6.10,8.20,145,Euro 4,85,81LFD2,70/220*2003/76B,54.00,4050,NA,74,NA,NA,NA
Benzine,1,4.00,4.70,5.80,110,Euro 6,82,RZ074B,715/2007*136/2014W,66.00,3750,NA,68,NA,NA,NA
Diesel,1,3.10,3.40,3.90,88,Euro 5,71,6KGL07,715/2007*566/2011J,77.00,2700,NA,NA,NA,0.00026,0.50
Benzine,1,4.10,4.90,6.20,114,Euro 6,82,KG206B,715/2007*136/2014W,66.00,3750,NA,70,NA,NA,NA
Diesel,1,3.10,3.40,3.80,89,Euro 6,77,KX091F,715/2007*136/2014W,81.00,2625,NA,70,NA,0.00010,0.51
Benzine,1,4.90,6.10,8.20,145,Euro 3,82,04RBLR,70/220*2001/100A,54.00,4050,NA,72,NA,NA,NA
Diesel,1,5.80,7.30,10.00,190,Euro 5,76,7KGR55,715/2007*692/2008A,177.00,2850,NA,73,NA,0.00017,0.51
Benzine,1,4.90,6.10,8.20,145,Euro 4,85,16JNP4,70/220*2003/76B,54.00,4050,NA,74,NA,NA,NA
Benzine,1,5.40,7.00,9.70,164,Euro 5,78,96XTG7,715/2007*566/2011A,132.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.20,4.90,6.20,114,Euro 6,76,RP965G,715/2007*136/2014W,110.00,3750,NA,70,NA,0.00220,NA
Diesel,1,5.30,5.90,7.00,156,Euro 5,71,KB508G,715/2007*692/2008F,130.00,2375,NA,71,NA,0.00012,0.50
Benzine,1,4.30,5.00,6.10,115,Euro 6,75,PS476V,715/2007*2015/45W,96.00,3750,NA,72,NA,0.00063,NA
LPG,1,5.60,6.80,8.90,110,Euro 5,84,92SBJ6,715/2007*692/2008F,61.00,3750,NA,NA,NA,NA,NA
Benzine,2,4.50,5.50,7.20,129,Euro 5,84,92SBJ6,715/2007*692/2008F,63.00,3750,NA,NA,NA,NA,NA
