PC,ADRES,PLAATS,OPP,KAMERS,VRGPRIJS,MAKELAAR
1066 NN,Vorselaarstraat 6                                    1,Amsterdam,102,3,3e5,Makelaar1 Internetmakelaar
1057 VA,Columbusplein 20 -bv                                    1,Amsterdam,95,4,55e4,Finsens Makelaardij
1053 JE,Jacob van Lennepstraat 257 C                                    1,Amsterdam,53,3,325e3,Geijsel Kroon Makelaardij
1087 KN,Julius Pergerstraat 23                                    1,Amsterdam,85,3,345e3,Thoma Post Makelaars Amsterdam
1017 RS,Zieseniskade 10 HS                                    1,Amsterdam,80,4,599e3,Brummer Makelaars en Taxateurs o.g.
1078 EC,Churchill-laan 209 -2                                    1,Amsterdam,91,5,599e3,Brummer Makelaars en Taxateurs o.g.
1056 DA,Hoofdweg 318 III                                    1,Amsterdam,57,2,295e3,Bakker Berkeveld Den Baas Makelaars B.V.
1017 XG,Weteringschans 219 2                                    1,Amsterdam,68,3,499e3,Hoen Makelaars B.V.
1098 NS,Voltaplein 50                                    1,Amsterdam,119,5,71e4,Groot Amsterdam Makelaardij B.V.
1051 VE,Van der Hoopstraat 111 -3                                    1,Amsterdam,44,2,3e5,DE LA HAYE MAKELAARDIJ O.G.
1075 SW,Veerstraat 42 H                                    1,Amsterdam,82,4,55e4,Aemestelle Makelaars v.o.f.
1071 VB,Balthasar Floriszstraat 57 III                                    1,Amsterdam,115,4,8e5,Engel & Völkers Amsterdam Centrum
1077 BR,Michelangelostraat 39 boven                                    1,Amsterdam,213,7,135e4,Damstede Makelaardij
1071 GX,Willemsparkweg 147 -hs                                    1,Amsterdam,164,6,155e4,CSV Makelaars B.V.
1053 VJ,Bilderdijkkade 65 L                                    1,Amsterdam,98,4,595e3,Makelaarswinkel B.V.
1059 AX,"Rijnsburgstraat 50 III, IV                                    1",Amsterdam,94,4,499e3,Woe van Os NVM Makelaars
1016 NX,Rozenstraat 78 A                                    1,Amsterdam,72,2,45e4,Keizerskroon Makelaars
1055 BE,Lanseloetstraat 18 -II                                    1,Amsterdam,57,3,3e5,Fred Koot Makelaardij
1065 LZ,Jan Muschstraat 70                                    1,Amsterdam,32,1,15e4,Geldhof Makelaardij O.G.
1072 VR,Gerard Doustraat 24 B                                    1,Amsterdam,73,3,52e4,VLIEG Makelaars Amsterdam OG
1093 AG,Pieter Vlamingstraat 52 -B                                    1,Amsterdam,67,3,435e3,Remko Bijvoet Makelaardij
1095 VZ,Soembawastraat 69 A                                    1,Amsterdam,49,3,285e3,PRO makelaars
1065 GP,Esther de Boer-van Rijkstraat 66 I                                    1,Amsterdam,70,4,24e4,Beekman Makelaardij o.g. b.v.
1091 BC,'s-Gravesandeplein 86                                    1,Amsterdam,79,3,415e3,Makelaarswinkel B.V.
1056 JT,Willem de Zwijgerlaan 82 II                                    1,Amsterdam,56,4,289e3,BrinkBorgh Makelaardij
1055 RA,Willem de Zwijgerlaan 319 -1                                    1,Amsterdam,50,2,25e4,VHM Makelaars Amsterdam
1057 JC,Chasséstraat 103 -II+III                                    1,Amsterdam,158,6,725e3,Dames van Vermeer B.V.
1019 GK,Jan Boterenbroodstraat 72                                    1,Amsterdam,54,3,28e4,Geldhof Makelaardij O.G.
1098 XB,Carolina MacGillavrylaan 476                                    1,Amsterdam,97,4,45e4,De Heren van Snoek Makelaardij
1052 DD,De Wittenkade 315                                    1,Amsterdam,86,3,475e3,De Heren van Snoek Makelaardij
1076 AS,Parnassusweg 34 hs                                    1,Amsterdam,105,4,825e3,BenS Makelaars
1082 JN,Van Nijenrodeweg 853                                    1,Amsterdam,34,2,22e4,Oldenkotte
1024 NB,Waterlandplein 298 d                                    1,Amsterdam,92,3,3e5,123 makelaar o.z.
1032 XM,Floraweg 71                                    1,Amsterdam,71,3,25e4,123 makelaar o.z.
1072 RD,Lizzy Ansinghstraat 64                                    1,Amsterdam,92,5,55e4,Groot Amsterdam Makelaardij B.V.
1054 MK,Jan Pieter Heijestraat 154 BV                                    1,Amsterdam,108,4,699e3,Brummer Makelaars en Taxateurs o.g.
1034 LG,Bramzeilhof 2                                    1,Amsterdam,75,3,285e3,URBAN MAKELAARS AMSTERDAM
