PC,ADRES,PLAATS,OPP,KAMERS,VRGPRIJS,MAKELAAR
9715 KD,Medanstraat 18                                    9,Groningen,112,5,245e3,Corpowonen
9744 JB,J.H. Egenbergerstraat 35                                    9,Groningen,117,5,215e3,Pandomo Makelaars
9731 LW,Van den Broekstraat 3                                    9,Groningen,102,5,217e3,Wichers Van der Schaaf
9746 AN,Josine Reulingstraat 22                                    9,Groningen,88,4,175e3,Van der Schalie Makelaars
9736 BH,Galkemaheerd 34                                    9,Groningen,130,7,209e3,Schreuder Makelaars
9725 BE,Waterloolaan 27                                    9,Groningen,187,6,665e3,Alfred Bakker Makelaars Haren & Groningen| NVM-EWN
9721 SB,Van Ketwich Verschuurlaan 7                                    9,Groningen,397,13,795e3,Kamps & De Vries Makelaars V.O.F.
9731 MP,De Klerkstraat 9                                    9,Groningen,115,4,269e3,Beks Makelaardij Harkstede
9745 AX,Arteveldestraat 32                                    9,Groningen,90,5,174500,NEBO Makelaars
9714 AN,Boterdiep 100 100a                                    9,Groningen,172,8,299e3,Finesse Makelaars & Taxateurs
9746 CV,Kleiwerd                                    9,Groningen,160,7,345e3,Pegasus Vastgoed Nieuwbouwspecialist
9721 LH,Vondellaan 118                                    9,Groningen,72,3,145e3,Corpowonen
9723 ZS,Boumaboulevard 195                                    9,Groningen,113,3,259e3,Hopma Makelaardij
9726 ED,Witte de Withstraat 24 a                                    9,Groningen,86,4,195e3,REC Vastgoed/Diana Jacometti Makelaar
9713 HW,Jan Hissink Jansenstraat 32 A                                    9,Groningen,80,3,185e3,Tebbens Torringa makelaardij
9727 AC,Koeriersterweg 24                                    9,Groningen,63,2,172500,Makelaarsland
9716 AB,Bedumerweg 19                                    9,Groningen,50,2,139500,Meijer & Drenth Makelaardij
9715 AH,Korreweg 104                                    9,Groningen,120,4,239e3,Makelaar1 Internetmakelaar
9732 BD,Baken 83                                    9,Groningen,100,4,159e3,Corpowonen
9731 BM,De Kleine Hortus - Lavendel - bnr. 52 (Bouwnr. 52)                                    9,Groningen,117,5,252e3,Meerdere makelaars betrokken
9746 CP,Joeswerd                                    9,Groningen,140,5,278e3,Pegasus Vastgoed Nieuwbouwspecialist
9746 CV,Kleiwerd                                    9,Groningen,140,5,399500,Pegasus Vastgoed Nieuwbouwspecialist
9746 CV,Kleiwerd                                    9,Groningen,160,7,345e3,Pegasus Vastgoed Nieuwbouwspecialist
9712 TW,Kleine Kruisstraat 16                                    9,Groningen,77,4,197500,Mijn Makelaar Jan Zwartenkot
9744 AZ,Hendrik de Vriesstraat 11                                    9,Groningen,105,4,259e3,Finesse Makelaars & Taxateurs
9722 AB,Verlengde Hereweg 6 A                                    9,Groningen,155,6,375e3,Hopma Makelaardij
9716 EP,Asingastraat 14                                    9,Groningen,94,4,169e3,Makelaar1 Internetmakelaar
9721 HD,Hora Siccamasingel 137                                    9,Groningen,115,5,33e4,HuisPortaal.nl
9717 HN,Zwarteweg 1                                    9,Groningen,70,2,175e3,Van der Schalie Makelaars
9721 BP,Helper Weststraat 6 a                                    9,Groningen,90,3,215e3,XLcasa Makelaars
9744 BC,Peizerweg 244 244 1+2                                    9,Groningen,291,9,495e3,Finesse Makelaars & Taxateurs
9731 BM,De Kleine Hortus - Lavendel hoek - bnr. 17 (Bouwnr. 17)                                    9,Groningen,117,5,293500,Meerdere makelaars betrokken
9723 ZX,Helperpark 322                                    9,Groningen,112,2,295e3,Thuis Nieuwbouwmakelaars
9728 KW,Donderslaan 132                                    9,Groningen,80,3,15e4,HelderinHuizen.nl
9744 TA,Hoendiep 288                                    9,Groningen,195,10,375e3,iQ Makelaars Groningen
9715 RH,Coranthijnestraat 16                                    9,Groningen,135,5,255e3,Makelaar Idee BV
9721 GH,De Ranitzstraat 6 a                                    9,Groningen,67,5,215e3,050 Vastgoed
9721 BB,Helper Westsingel 27 A                                    9,Groningen,76,5,225e3,050 Vastgoed
9713 BS,Kraanvogelstraat                                    9,Groningen,178,6,375e3,Thuis Nieuwbouwmakelaars
9713 XX,Pioenstraat                                    9,Groningen,150,6,323960,Thuis Nieuwbouwmakelaars
9713 XX,Pioenstraat                                    9,Groningen,178,6,391535,Thuis Nieuwbouwmakelaars
9713 XL,Hyacinthstraat                                    9,Groningen,127,5,290509,Thuis Nieuwbouwmakelaars
9715 CN,Padangstraat 71 a                                    9,Groningen,67,3,165e3,Mijn Huis Makelaardij
9724 GK,Winschoterdiep 65 A                                    9,Groningen,45,2,169e3,Makelaardij Boekelo
9726 GE,Van Heemskerckstraat 51 a                                    9,Groningen,54,3,142500,iQ Makelaars Groningen
9721 HX,Hora Siccamasingel 260                                    9,Groningen,86,3,165e3,MakelaarsOffice
6836 SN,W.F. Hermansstraat 46                                  ,Arnhem,99,4,182500,Puntman Makelaars
6846 EG,Schoolmeesterwaard 3                                  ,Arnhem,139,5,299500,Ditters Makelaars Arnhem
6843 SH,Helmondstraat 78                                  ,Arnhem,95,4,175e3,Willemsen makelaars
6836 SB,Simon Vestdijksingel 21                                  ,Arnhem,90,3,2e5,Open makelaars Arnhem
6843 EP,Goudaweg 6                                  ,Arnhem,128,5,189500,Strijbosch Thunnissen Woningmakelaars
6846 AK,Maaierserf 26                                  ,Arnhem,124,4,269500,Van Asselt Makelaars
6833 LK,Kea Boumanstraat 48                                  ,Arnhem,170,6,335e3,Strijbosch Thunnissen Woningmakelaars
6831 BD,IJzerappelgaard 8                                  ,Arnhem,143,4,345e3,Open makelaars Arnhem
6845 MC,Panheelstraat 5                                  ,Arnhem,136,5,29e4,Puntman Makelaars
6836 SE,Annie M.G. Schmidthof 7                                  ,Arnhem,109,5,225e3,Open makelaars Arnhem
6836 TR,Charles Dickensstraat 69                                  ,Arnhem,114,5,205e3,Open makelaars Arnhem
6811 BM,Nieuwstad 62                                  ,Arnhem,141,4,35e4,Van Asselt Makelaars
6846 CA,Angelsaksenveld 4                                  ,Arnhem,182,8,525e3,Kars van der Wagen Makelaardij
6841 KD,Hoornbladstraat 20                                  ,Arnhem,153,6,234e3,Van Ek Garantiemakelaars
6846 HR,Meikers 22                                  ,Arnhem,163,6,419500,Open makelaars Arnhem
6841 KB,Brunelsingel 50                                  ,Arnhem,116,4,225e3,Gaba Makelaardij Arnhem
6846 JJ,Het Juk 8                                  ,Arnhem,141,5,358e3,Puntman Makelaars
6821 LX,Hommelseweg 496                                  ,Arnhem,70,3,295e3,Petra De Kleermaeker Makelaardij
6816 RM,Kemperbergerweg 5                                  ,Arnhem,111,5,55e4,Hendriks Makelaardij Arnhem
6836 WH,Eka Thoden van Velzenstraat 8                                  ,Arnhem,292,7,915e3,Open makelaars Arnhem
6824 CL,Rosendaalsestraat 477                                  ,Arnhem,143,5,475e3,Hendriks Makelaardij Arnhem
6814 KG,Van Heemstralaan 97                                  ,Arnhem,185,6,619e3,Strijbosch Thunnissen Woningmakelaars
6826 PA,Van Ghentstraat 9                                  ,Arnhem,99,5,189e3,Ditters Makelaars Arnhem
6835 HA,Assenstraat 3                                  ,Arnhem,122,6,199900,Van Ek Garantiemakelaars
6816 RE,Pollendal 1                                  ,Arnhem,173,4,545e3,Strijbosch Thunnissen Woningmakelaars
6844 BJ,Beststraat 6                                  ,Arnhem,116,5,175e3,Puntman Makelaars
6833 GK,Kamillelaan 32                                  ,Arnhem,62,3,149e3,Kars van der Wagen Makelaardij
6822 LS,Thomas a Kempislaan 92                                  ,Arnhem,118,5,375e3,Open makelaars Arnhem
6828 JP,Dijkstraat 8                                  ,Arnhem,238,7,589e3,Open makelaars Arnhem
6813 HR,Breitnerstraat 14                                  ,Arnhem,171,6,55e4,Open makelaars Arnhem
6836 VE,Ida Gerhardtstraat 52                                  ,Arnhem,117,5,199500,Van Ek Garantiemakelaars
6836 VA,Simon Vestdijksingel 79                                  ,Arnhem,107,5,225e3,Open makelaars Arnhem
6843 RG,Ulvenhoutstraat 70                                  ,Arnhem,144,5,325e3,Puntman Makelaars
6828 SM,Stadhoudersstraat 132                                  ,Arnhem,120,5,269500,Willemsen makelaars
6814 KR,Hobbemastraat 7                                  ,Arnhem,166,7,589e3,Willemsen makelaars
6835 BM,Holwierdepad 11                                  ,Arnhem,110,5,225e3,Open makelaars Arnhem
6824 JR,Laan van Klarenbeek 4                                  ,Arnhem,159,5,439e3,Open makelaars Arnhem
6824 HX,Plein 1813 5                                  ,Arnhem,140,6,569e3,Willemsen makelaars
6836 SN,W.F. Hermansstraat 52                                  ,Arnhem,99,4,195e3,Puntman Makelaars
6846 HN,Wijnkers 28                                  ,Arnhem,195,8,569e3,Strijbosch Thunnissen Woningmakelaars
6843 ZX,Verenwei 42                                  ,Arnhem,112,5,189500,Strijbosch Thunnissen Woningmakelaars
6836 TW,Emily Brontësingel 78                                  ,Arnhem,116,6,209500,REBO ERA Makelaars
6844 AG,Bladelstraat 69                                  ,Arnhem,116,5,198e3,Strijbosch Thunnissen Woningmakelaars
6843 EJ,Moordrechtpad 8                                  ,Arnhem,135,5,187500,Strijbosch Thunnissen Woningmakelaars
6844 HA,Geffenstraat 2                                  ,Arnhem,143,5,345e3,Hendriks Makelaardij Arnhem
6834 EM,Ridderhof 26                                  ,Arnhem,86,5,16e4,Willemsen makelaars
6834 EK,Ridderhof 13                                  ,Arnhem,85,5,165e3,Willemsen makelaars
6814 HM,Burgemeester Weertsstraat 65                                  ,Arnhem,214,9,689e3,Petra De Kleermaeker Makelaardij
6846 AC,Fruittelerserf 5                                  ,Arnhem,130,5,287500,Willemsen makelaars
6843 LS,Zijderveldplantsoen 6                                  ,Arnhem,110,5,189e3,Zaat Vastgoed Makelaardij
6842 DJ,Dolceplein 3                                  ,Arnhem,175,7,629e3,Open makelaars Arnhem
6814 AG,Cronjéstraat 7                                  ,Arnhem,284,6,698e3,Petra De Kleermaeker Makelaardij
6824 KJ,Julianalaan 86                                  ,Arnhem,190,8,85e4,Petra De Kleermaeker Makelaardij
6846 CA,Angelsaksenveld 10                                  ,Arnhem,204,6,575e3,Roel Willemsen Garantiemakelaars
6843 SK,Helmondstraat 172                                  ,Arnhem,104,5,189e3,Zigt Makelaars & Hypotheekadvies
6836 MK,Hans Tiemeijerhof 12                                  ,Arnhem,152,8,3e5,Roel Willemsen Garantiemakelaars
6832 HB,Saturnushof 3                                  ,Arnhem,108,5,209e3,Roel Willemsen Garantiemakelaars
6846 CD,Romeinenveld 22                                  ,Arnhem,181,5,59e4,Bram Heezen & Paul Jansen Makelaardij
6811 LG,Bergstraat 163                                  ,Arnhem,77,2,169500,Hendriks Makelaardij Arnhem
6826 SP,Bontekoestraat 5 1                                  ,Arnhem,64,3,125e3,Ditters Makelaars Arnhem
6826 PW,Keulse Slag 72                                  ,Arnhem,90,4,159500,Ditters Makelaars Arnhem
6821 LJ,Hommelseweg 323                                  ,Arnhem,94,4,235e3,Ooststede Makelaars
6821 EV,Naëll Tynnegieterstraat 9                                  ,Arnhem,77,6,2e5,Kars van der Wagen Makelaardij
6811 AG,Velperplein 12 4                                  ,Arnhem,144,3,465e3,Strijbosch Thunnissen Woningmakelaars
6833 GZ,Kruidenplein 62                                  ,Arnhem,73,2,125e3,Puntman Makelaars
6826 LS,Gildemeestersplein 222                                  ,Arnhem,80,3,147500,Hendriks Makelaardij Arnhem
6815 BL,Beethovenlaan 53                                  ,Arnhem,109,4,219500,Open makelaars Arnhem
6835 GD,Groningensingel 777                                  ,Arnhem,126,4,195e3,EZA Vastgoed Makelaardij
6835 DH,Grijpskerkstraat 24                                  ,Arnhem,118,6,199500,Strijbosch Thunnissen Woningmakelaars
6821 JL,Dalweg 21                                  ,Arnhem,105,4,379500,Strijbosch Thunnissen Woningmakelaars
6846 XK,Auroraplantsoen 27                                  ,Arnhem,86,5,225e3,Van Asselt Makelaars
6836 EN,Peppelenwei 33                                  ,Arnhem,103,5,203e3,Van Ek Garantiemakelaars
6813 JD,Josef Israëlslaan 149                                  ,Arnhem,154,6,469e3,Van Asselt Makelaars
6816 PN,Strolaan 2                                  ,Arnhem,205,6,698e3,Van Asselt Makelaars
6846 LJ,Pleziervaart 15                                  ,Arnhem,145,6,369e3,Open makelaars Arnhem
6833 EC,Karperstraat 54                                  ,Arnhem,88,4,159e3,Kars van der Wagen Makelaardij
6843 SG,Helmondstraat 44                                  ,Arnhem,126,5,225e3,Open makelaars Arnhem
6835 DG,Grijpskerkstraat 7                                  ,Arnhem,118,6,199500,Van Heteren & Actief Makelaars
6845 BN,Zierikzeestraat 53                                  ,Arnhem,91,5,172500,Hendriks Makelaardij Arnhem
6846 GA,Staatsspoor 53                                  ,Arnhem,187,6,6e5,Open makelaars Arnhem
6813 HH,Van Goghstraat 62                                  ,Arnhem,152,6,445e3,Strijbosch Thunnissen Woningmakelaars
6813 KK,Weissenbruchstraat 6                                  ,Arnhem,180,6,689e3,Willemsen makelaars
6836 ME,Wim Kanstraat 5                                  ,Arnhem,125,5,249500,Willemsen makelaars
6836 PT,Mr. P.J. Oudsingel 116                                  ,Arnhem,122,4,389e3,Van Asselt Makelaars
6824 HW,Van der Duyn van Maasdamlaan 1                                  ,Arnhem,365,14,1185e3,REBO ERA Makelaars
6824 JW,Verlengde Prümelaan 93                                  ,Arnhem,126,7,435e3,Van Asselt Makelaars
6826 PB,Van Ghentstraat 24                                  ,Arnhem,115,7,189500,Hoetink Makelaars
6821 JN,Dalweg 81                                  ,Arnhem,128,6,55e4,REBO ERA Makelaars
6846 BH,Pottenbakkersveste 7                                  ,Arnhem,109,5,266500,Ditters Makelaars Arnhem
6824 MX,Roemer Visscherstraat 12                                  ,Arnhem,115,5,369e3,Strijbosch Thunnissen Woningmakelaars
6846 HN,Wijnkers 8                                  ,Arnhem,170,6,489500,Ditters Makelaars Arnhem
6828 ZM,Van Oldenbarneveldtstraat 3                                  ,Arnhem,233,9,535e3,Strijbosch Thunnissen Woningmakelaars
6836 JG,Engelsplein 20                                  ,Arnhem,92,5,192500,Ditters Makelaars Arnhem
6812 AE,Utrechtseweg 237                                  ,Arnhem,171,8,598500,REBO ERA Makelaars
6846 GN,Lokaalspoor 43                                  ,Arnhem,174,5,579e3,Hermsen Garantiemakelaars Huissen
6835 BT,Ekamphof 7                                  ,Arnhem,110,5,2e5,Open makelaars Arnhem
6845 EE,Landgraafstraat 124                                  ,Arnhem,165,5,429500,Witjes Makelaars
6836 CS,Dr. Willem Dreessingel 271                                  ,Arnhem,68,3,15e4,Open makelaars Arnhem
6821 DC,Jacob Cremerstraat 59                                  ,Arnhem,127,5,3e5,Open makelaars Arnhem
6821 EL,Annastraat 2                                  ,Arnhem,88,4,2e5,Petra De Kleermaeker Makelaardij
6811 BL,Nieuwstad 24                                  ,Arnhem,143,4,295e3,Gaba Makelaardij Arnhem
6828 ER,Hertogstraat 13 3                                  ,Arnhem,50,2,169500,Van Asselt Makelaars
6844 AR,Bredasingel 82                                  ,Arnhem,90,4,15e4,Ditters Makelaars Arnhem
6843 HZ,Kortlandplaats 23                                  ,Arnhem,81,3,199500,Hendriks Makelaardij Arnhem
6828 BS,Ir J.P. van Muijlwijkstraat 66 a1                                  ,Arnhem,44,2,142500,Witjes Makelaars
6821 GR,Bouwmeesterstraat 23                                  ,Arnhem,101,5,275e3,Ditters Makelaars Arnhem
6821 GA,St. Antonielaan 43                                  ,Arnhem,123,3,325e3,Willemsen makelaars
6825 GH,Hakfortlaan 34 -4                                  ,Arnhem,105,4,185e3,Strijbosch Thunnissen Woningmakelaars
6812 AA,Utrechtseweg 131 -5                                  ,Arnhem,184,3,698e3,Strijbosch Thunnissen Woningmakelaars
6826 PG,De Houtmanstraat 73                                  ,Arnhem,78,3,149500,Hoetink Makelaars
6844 GW,Kroonse Wal 49                                  ,Arnhem,58,3,139500,Open makelaars Arnhem
6822 MB,Groot Vijverdal 22                                  ,Arnhem,97,3,235e3,Hoetink Makelaars
6826 DE,IJssellaan 13 4                                  ,Arnhem,84,3,185e3,Hoetink Makelaars
6828 DS,Spijkerstraat 160 -5                                  ,Arnhem,54,3,175e3,Willemsen makelaars
6815 BM,Beethovenlaan 84 1                                  ,Arnhem,105,3,347500,Willemsen makelaars
6828 DJ,Spijkerstraat 307 2                                  ,Arnhem,112,3,282500,Willemsen makelaars
6814 BN,Apeldoornseweg 122 -3                                  ,Arnhem,60,4,164e3,Van Ek Garantiemakelaars
6824 ML,Van Huevenstraat 5                                  ,Arnhem,92,4,275e3,Ditters Makelaars Arnhem
6832 JM,Keurvorstlaan 11                                  ,Arnhem,120,7,185e3,REBO ERA Makelaars
6814 JB,G.A. van Nispenstraat 12                                  ,Arnhem,235,7,725e3,Strijbosch Thunnissen Woningmakelaars
6846 LC,Kustvaart 23                                  ,Arnhem,124,5,268500,Strijbosch Thunnissen Woningmakelaars
6821 LD,Hommelseweg 165                                  ,Arnhem,212,7,399e3,Open makelaars Arnhem
6841 BL,Blauwgraspad 22                                  ,Arnhem,151,5,439e3,Gaba Makelaardij Arnhem
6823 NT,Vleugelnootstraat 1                                  ,Arnhem,106,4,275e3,Strijbosch Thunnissen Woningmakelaars
6843 VA,Purmerendstraat 41                                  ,Arnhem,108,4,192500,Het Makelaardij Huys
6824 PV,Paasberglaan 19                                  ,Arnhem,286,8,1295e3,Open makelaars Arnhem
6815 ET,Mendelssohnlaan 9                                  ,Arnhem,113,3,535e3,De Rooij Makelaars Vastgoed
6813 EA,Veluwestraat 3                                  ,Arnhem,89,5,286500,Ditters Makelaars Arnhem
6822 KZ,Lindenheuvel 49                                  ,Arnhem,133,6,415e3,Petra De Kleermaeker Makelaardij
6832 BN,Boterbloemstraat 30                                  ,Arnhem,132,5,239500,Gaba Makelaardij Arnhem
6841 AK,Haagdoornstraat 67                                  ,Arnhem,90,7,15e4,Ooststede Makelaars
6833 DA,Venkelstraat 3                                  ,Arnhem,105,4,175e3,Van Sonsbeeck makelaars
6828 KP,Boulevard Heuvelink 10 c                                  ,Arnhem,81,3,169e3,Ooststede Makelaars
6824 DS,Raapopseweg 36                                  ,Arnhem,142,6,25e4,Petra De Kleermaeker Makelaardij
6813 JG,Josef Israëlslaan 78                                  ,Arnhem,94,5,225e3,Ditters Makelaars Arnhem
6828 HD,Emmastraat 75                                  ,Arnhem,115,5,423e3,Willemsen makelaars
6814 JH,Izaäk Evertslaan 63                                  ,Arnhem,118,3,439e3,Petra De Kleermaeker Makelaardij
6824 BV,Tivolilaan 145                                  ,Arnhem,83,3,212500,Voorhoeve Makelaars
6828 VX,Groen van Prinstererstraat 10                                  ,Arnhem,106,5,25e4,Hendriks Makelaardij Arnhem
6821 GM,St. Antonielaan 234                                  ,Arnhem,116,5,285e3,Open makelaars Arnhem
6828 WC,Statenlaan 61                                  ,Arnhem,131,7,295e3,Hendriks Makelaardij Arnhem
6811 AJ,Jansbinnensingel 7 B                                  ,Arnhem,134,7,4e5,Willemsen makelaars
6821 GK,St. Antonielaan 152                                  ,Arnhem,101,4,237500,Het Makelaardij Huys
6811 BC,Walstraat 2 6                                  ,Arnhem,100,3,31e4,Ooststede Makelaars
6828 KX,Boulevard Heuvelink 160                                  ,Arnhem,350,8,745e3,Strijbosch Thunnissen Woningmakelaars
6846 HE,Winterjan 9                                  ,Arnhem,275,8,795e3,Willemsen makelaars
6824 NS,Tollensstraat 16                                  ,Arnhem,129,5,439e3,Strijbosch Thunnissen Woningmakelaars
6845 BV,Zoutelandehof 11                                  ,Arnhem,154,6,425e3,Strijbosch Thunnissen Woningmakelaars
6846 LC,Kustvaart 1                                  ,Arnhem,138,5,294500,Strijbosch Thunnissen Woningmakelaars
6833 HB,Herminiumstraat 14                                  ,Arnhem,90,4,179500,Dingemans Makelaardij
6824 NN,Nicolaas Beetsstraat 15                                  ,Arnhem,194,8,475e3,Kamps Makelaardij
6811 HX,Nieuwstraat 50 -1                                  ,Arnhem,327,6,625e3,Strijbosch Thunnissen Woningmakelaars
6814 ES,Cornelis Outshoornplaats 26                                  ,Arnhem,80,3,275e3,Strijbosch Thunnissen Woningmakelaars
6824 MH,Velperweg 196 -1                                  ,Arnhem,93,2,198e3,Strijbosch Thunnissen Woningmakelaars
6811 HD,Rijnkade 90 -1                                  ,Arnhem,75,2,275e3,Petra De Kleermaeker Makelaardij
6814 GB,Amsterdamseweg 39                                  ,Arnhem,38,2,124500,Van Sonsbeeck makelaars
6828 JG,Parkstraat 69                                  ,Arnhem,163,6,445e3,REBO ERA Makelaars
6814 JH,Izaäk Evertslaan 119 4                                  ,Arnhem,80,4,189500,Van Sonsbeeck makelaars
6828 HB,Emmastraat 41 a                                  ,Arnhem,246,3,4e5,Open makelaars Arnhem
6821 DP,Staringstraat 20                                  ,Arnhem,106,3,234500,Gaba Makelaardij Arnhem
6846 BD,De Veste 22                                  ,Arnhem,90,4,22e4,Strijbosch Thunnissen Woningmakelaars
6842 AG,Klapstraat 56                                  ,Arnhem,121,4,265e3,Makelaar Broex
6836 PC,Rosa Manushof 1                                  ,Arnhem,148,6,369500,Dingemans Makelaardij
6816 PC,Bakenbergseweg 242 a                                  ,Arnhem,195,6,785e3,De Rooij Makelaars Vastgoed
6816 PE,Bakenbergseweg 266 A                                  ,Arnhem,170,6,749e3,Van Musscher & Sonneveld Makelaars
6823 CR,Merelstraat 5                                  ,Arnhem,84,5,225e3,Petra De Kleermaeker Makelaardij
6821 LX,Hommelseweg 484                                  ,Arnhem,122,5,45e4,Petra De Kleermaeker Makelaardij
6811 BA,Velperpoortslangstraat                                  ,Arnhem,223,6,258e3,Strijbosch Thunnissen Woningmakelaars
6822 EA,Verlengde Hoflaan 85                                  ,Arnhem,50,2,187e3,Het woonhart makelaardij
6826 RA,De Bitterstraat 21                                  ,Arnhem,122,4,172e3,Van Sonsbeeck makelaars
6828 ZM,Van Oldenbarneveldtstraat 9 -1                                  ,Arnhem,94,4,275e3,Strijbosch Thunnissen Woningmakelaars
6814 HL,Burgemeester Weertsstraat 5 -3                                  ,Arnhem,65,2,165e3,Petra De Kleermaeker Makelaardij
6813 ED,Veluwestraat 14                                  ,Arnhem,90,4,25e4,Petra De Kleermaeker Makelaardij
6814 LG,Van Ostadestraat 2                                  ,Arnhem,164,9,798500,Petra De Kleermaeker Makelaardij
6814 BM,Apeldoornseweg 92                                  ,Arnhem,168,6,35e4,Van Sonsbeeck makelaars
6825 BX,Weldamlaan 33                                  ,Arnhem,177,5,33e4,Roel Willemsen Garantiemakelaars
6813 JS,Jacob Marislaan 83 -2                                  ,Arnhem,89,4,2e5,Petra De Kleermaeker Makelaardij
6816 RT,Kemperbergerweg 415                                  ,Arnhem,240,6,985e3,Drieklomp Makelaars en Rentmeesters Oosterbeek
6816 RV,Kemperbergerweg 691                                  ,Arnhem,225,7,795e3,Spitman Makelaars
6836 WH,Eka Thoden van Velzenstraat 4                                  ,Arnhem,267,4,925e3,Drieklomp Makelaars en Rentmeesters Oosterbeek
6821 LA,Hommelseweg 13                                  ,Arnhem,63,1,135e3,Vonk Makelaars
6814 DD,Sweerts de Landasstraat 101 A                                  ,Arnhem,188,9,55e4,Willemsen makelaars
6822 KR,Duivenstraat 10                                  ,Arnhem,80,4,219e3,Willemsen makelaars
6826 LS,Gildemeestersplein 218 7                                  ,Arnhem,84,3,147500,Otter Makelaardij
6826 RZ,Van Galenstraat 58                                  ,Arnhem,108,5,189500,Living Changes Makelaardij
6815 CJ,Cattepoelseweg 246                                  ,Arnhem,144,6,398e3,Willemsen makelaars
6816 RV,Kemperbergerweg 703                                  ,Arnhem,328,9,985e3,Jacobs Makelaardij
6844 CN,Eindhovensingel 72                                  ,Arnhem,127,5,34e4,Boekschoten & Van Lieshout Makelaars
6814 GJ,Amsterdamseweg 134                                  ,Arnhem,121,7,325e3,Petra De Kleermaeker Makelaardij
6846 EA,Het Hout 63                                  ,Arnhem,185,6,699e3,Makelaarsland
6824 CJ,Rosendaalsestraat 317                                  ,Arnhem,363,4,495e3,Boekschoten & Van Lieshout Makelaars
6843 BV,Medemblikhof 19                                  ,Arnhem,128,6,199e3,Assink NVM Makelaars
6812 BG,Alexanderstraat 48                                  ,Arnhem,91,5,225e3,Makelaarsland
6833 LL,Kea Boumanstraat 136                                  ,Arnhem,190,4,539e3,Makelaarsland
6833 LP,Abe Lenstrahof 130                                  ,Arnhem,219,5,7e5,Spitman Makelaars
6812 AA,Utrechtseweg 131 -4                                  ,Arnhem,182,4,7e5,Open makelaars Arnhem
6843 GG,Pijnackerhof 1                                  ,Arnhem,123,5,187500,Assink NVM Makelaars
6832 DJ,Ratelaarstraat 33                                  ,Arnhem,71,4,159500,Van Huis tot Huis Makelaars
6826 PJ,De Houtmanstraat 18                                  ,Arnhem,104,6,17e4,Willemsen makelaars
6816 PW,De Bruijnlaan 7                                  ,Arnhem,176,6,669e3,Willemsen makelaars
6843 XV,Reurikwei 67                                  ,Arnhem,107,5,198e3,Roel Willemsen Garantiemakelaars
6836 ML,Robert de Vriesstraat 1                                  ,Arnhem,139,5,25e4,Roel Willemsen Garantiemakelaars
6824 JA,Huijghenslaan 3                                  ,Arnhem,215,6,615e3,Boekschoten & Van Lieshout Makelaars
6845 DP,Hoensbroekstraat 42                                  ,Arnhem,118,6,3e5,Jansen Makelaars
6816 VB,Wekeromseweg 5                                  ,Arnhem,407,12,185e4,Spitman Makelaars
6836 HG,Hendrik Pieter Marchantstraat 10                                  ,Arnhem,143,5,3e5,Van Heteren & Actief Makelaars
6835 KW,Leeuwardenweg 48                                  ,Arnhem,124,5,299e3,Van Heteren & Actief Makelaars
6828 SH,Stadhoudersstraat 143                                  ,Arnhem,85,5,169900,Hoetink Makelaars
6823 JP,Moslaan 16                                  ,Arnhem,145,5,439e3,Rita Diets - Stad en Land Makelaardij
6816 TN,Maasbergseweg 10                                  ,Arnhem,227,5,1075e3,Drieklomp Makelaars en Rentmeesters Oosterbeek
6816 PL,Strolaan 11 b                                  ,Arnhem,103,7,375e3,Willemsen makelaars
6814 BD,Sonsbeekweg 40                                  ,Arnhem,370,9,945e3,Spitman Makelaars
6824 JJ,Huijghenslaan 62                                  ,Arnhem,269,12,699e3,Strijbosch Thunnissen Woningmakelaars
6824 JJ,Huijghenslaan 62                                  ,Arnhem,269,12,699e3,Spitman Makelaars
6826 KW,Cloekplein 132                                  ,Arnhem,83,3,149500,Bults Makelaardij
6813 KH,Poggenbeekstraat 32                                  ,Arnhem,120,5,42e4,Best Living NVM Makelaars & financieel adviseurs
6828 KR,Boulevard Heuvelink 32                                  ,Arnhem,290,12,75e4,Willemsen makelaars
6814 BM,Apeldoornseweg 68                                  ,Arnhem,90,4,315e3,Spitman Makelaars
6836 TM,Mark Twainhof 4                                  ,Arnhem,117,5,199e3,Witjes Makelaars
6813 JN,Mauvestraat 48                                  ,Arnhem,136,5,449e3,Spitman Makelaars
6811 BC,Walstraat 2 -1                                  ,Arnhem,80,2,225e3,Spitman Makelaars
6843 PM,Deurnestraat 13                                  ,Arnhem,119,5,199e3,Roel Willemsen Garantiemakelaars
6846 KN,Ploegakker 16                                  ,Arnhem,127,4,279e3,Roel Willemsen Garantiemakelaars
6844 ED,Lieshoutstraat 160                                  ,Arnhem,193,7,325e3,Assink NVM Makelaars
6816 RH,Merkendal 1                                  ,Arnhem,121,5,469e3,Assink NVM Makelaars
6814 MP,Bakenbergseweg 136                                  ,Arnhem,179,6,686e3,Bell Makelaardij B.V.
6833 CL,Graslaan 70                                  ,Arnhem,79,4,165e3,Willemsen makelaars
6822 CB,Catharijnestraat 69                                  ,Arnhem,57,3,159e3,Spitman Makelaars
6814 JC,Röellstraat 3                                  ,Arnhem,440,11,215e4,HUYSSHOP Internetmakelaar
6846 GD,Rhijnspoor 8                                  ,Arnhem,158,6,395e3,Spitman Makelaars
6845 BS,Middelburgsingel 46                                  ,Arnhem,102,5,199e3,Roel Willemsen Garantiemakelaars
